"","sample_1","sample_2","n_common_CpGs","spearman","pearson","median_abs_difference","mean_abs_difference","root_mean_square_difference","mean_signed_difference","mean_sample_1","mean_sample_2","sample_ID_1","mushroom_1","location_1","replicate_1","tissue_1","sample_ID_2","mushroom_2","location_2","replicate_2","tissue_2"
"1","N2L","N3L",2692314,0.614159302186574,0.98928869200227,0,1.49441347872704,3.94597250130128,0.0436694118345035,9.73116296485777,10.207745817645,"lamella_north_1","north_2","north",2,"lamella","lamella_north_2","north_3","north",3,"lamella"
"2","N2L","NE4L",2712782,0.546043312023055,0.985044824766522,0,1.56792924305706,4.68336760437884,0.0203979799787343,9.73116296485777,10.3057178549955,"lamella_north_1","north_2","north",2,"lamella","lamella_northeast_2","northeast_4","northeast",4,"lamella"
"3","N2L","NE5L",2639238,0.632343589867058,0.982666537284499,0,1.60946268384601,4.97488514380759,0.0342749244304498,9.73116296485777,9.84933902626368,"lamella_north_1","north_2","north",2,"lamella","lamella_northeast_3","northeast_5","northeast",5,"lamella"
"4","N2L","NW3L",2650238,0.620405407905788,0.982092665488492,0,1.66176319799366,5.03705926370259,0.0211123455622172,9.73116296485777,9.82541638235583,"lamella_north_1","north_2","north",2,"lamella","lamella_northwest_1","northwest_3","northwest",3,"lamella"
"5","N2L","W4L",2644582,0.629207906565274,0.98260946063299,0,1.62866573964077,5.00375331335099,0.0371659839246067,9.73116296485777,9.99158621740444,"lamella_north_1","north_2","north",2,"lamella","lamella_west_2","west_4","west",4,"lamella"
"6","N2L","W5L",2623238,0.631938563507683,0.982145225175386,0,1.65378654744329,5.03973566962045,-0.0150165889500612,9.73116296485777,9.85336732293851,"lamella_north_1","north_2","north",2,"lamella","lamella_west_3","west_5","west",5,"lamella"
"7","N2L","N2SP",2481714,0.603599982509314,0.987939391097921,0,1.45182393729627,3.87980234711277,0.0138557329745131,9.73116296485777,8.42806324105631,"lamella_north_1","north_2","north",2,"lamella","spore_north_1","north_2","north",2,"spore"
"8","N2L","N4SP",2631964,0.612787272808906,0.988010900053546,0,1.52776634680586,4.09285241736358,0.0607264054619644,9.73116296485777,9.69140309024737,"lamella_north_1","north_2","north",2,"lamella","spore_north_3","north_4","north",4,"spore"
"9","N2L","N4S",2703181,0.59916068465653,0.979834820611086,0,1.83010167009211,5.40271064249557,-0.239707696694776,9.73116296485777,9.94254415228311,"lamella_north_1","north_2","north",2,"lamella","stipe_north_3","north_4","north",4,"stipe"
"10","N2L","NE3S",2711642,0.577465868670088,0.981110292200519,0,1.76080766078322,5.23785243979799,-0.128307693761502,9.73116296485777,10.1367314151562,"lamella_north_1","north_2","north",2,"lamella","stipe_northeast_1","northeast_3","northeast",3,"stipe"
"11","N2L","NW4S",2486220,0.583553053592968,0.979132498981659,0,1.70061370711494,5.05116770158511,-0.116142489075055,9.73116296485777,8.29226100713483,"lamella_north_1","north_2","north",2,"lamella","stipe_northwest_2","northwest_4","northwest",4,"stipe"
"12","N2L","N4L",2484057,0.642053982274564,0.987671819390203,0,1.51072826486123,4.16989450496191,0.0324037901868724,9.73116296485777,9.7006902315444,"lamella_north_1","north_2","north",2,"lamella","lamella_north_3","north_4","north",4,"lamella"
"13","N2L","NE3L",2657594,0.626667242244756,0.982889361499918,0,1.62764362104153,4.93775545256294,0.00828139414808526,9.73116296485777,9.86431564750248,"lamella_north_1","north_2","north",2,"lamella","lamella_northeast_1","northeast_3","northeast",3,"lamella"
"14","N2L","NW5L",2703332,0.603506496670237,0.983201960493635,0,1.63985877695254,4.95634541656098,0.0355155632128574,9.73116296485777,10.2442516271712,"lamella_north_1","north_2","north",2,"lamella","lamella_northwest_3","northwest_5","northwest",5,"lamella"
"15","N2L","N3SP",2526181,0.604215454991841,0.987166492323975,0,1.49153164585913,4.06090247065354,0.0267461288466878,9.73116296485777,8.72734335024228,"lamella_north_1","north_2","north",2,"lamella","spore_north_2","north_3","north",3,"spore"
"16","N2L","W3SP",2476713,0.602118879415982,0.981518920386373,0,1.63475400376755,4.87053915278031,0.0634230379343757,9.73116296485777,8.7405607581908,"lamella_north_1","north_2","north",2,"lamella","spore_west_1","west_3","west",3,"spore"
"17","N2L","NW5S",2190474,0.624671873544897,0.978148560542223,0,1.7750704961691,5.32242843777403,-0.130248380236476,9.73116296485777,8.69485725777494,"lamella_north_1","north_2","north",2,"lamella","stipe_northwest_3","northwest_5","northwest",5,"stipe"
"18","N2L","NW4L",2626410,0.628755949572719,0.98255054517419,0,1.65118289046347,4.99970929035515,0.0302045257117693,9.73116296485777,9.95883760618417,"lamella_north_1","north_2","north",2,"lamella","lamella_northwest_2","northwest_4","northwest",4,"lamella"
"19","N2L","NE4SP",2230530,0.603787298533046,0.980545341143412,0,1.60528895653492,4.87146678258025,0.0707834614737303,9.73116296485777,8.20820749899239,"lamella_north_1","north_2","north",2,"lamella","spore_northeast_1","northeast_4","northeast",4,"spore"
"20","N2L","NW5SP",2475964,0.596352861994012,0.981019065726399,0,1.61026857482276,4.86789768694689,0.0351037176835515,9.73116296485777,8.46440291861712,"lamella_north_1","north_2","north",2,"lamella","spore_northwest_2","northwest_5","northwest",5,"spore"
"21","N2L","W3L",2452453,0.639235925564959,0.982119236718979,0,1.64288866353071,4.99250733251458,0.0462865189013794,9.73116296485777,9.53813703520306,"lamella_north_1","north_2","north",2,"lamella","lamella_west_1","west_3","west",3,"lamella"
"22","N2L","NE5S",2330533,0.604462603976962,0.979184381082239,0,1.7369406745478,5.10765127308185,-0.0449095280053903,9.73116296485777,8.52353874445286,"lamella_north_1","north_2","north",2,"lamella","stipe_northeast_3","northeast_5","northeast",5,"stipe"
"23","N2L","NW3S",2135043,0.618856050769162,0.980660413252695,0,1.75256401121342,5.0019349405128,-0.107201480720311,9.73116296485777,8.68495915089529,"lamella_north_1","north_2","north",2,"lamella","stipe_northwest_1","northwest_3","northwest",3,"stipe"
"24","N2L","N2S",2345386,0.634088683391447,0.977963155275044,0,1.80833046847576,5.43609417669613,-0.259628912306636,9.73116296485777,8.92090702626311,"lamella_north_1","north_2","north",2,"lamella","stipe_north_1","north_2","north",2,"stipe"
"25","N2L","W5SP",1974079,0.608077257657422,0.980511404624478,0,1.60393345560782,4.8368484492483,0.0333074427640455,9.73116296485777,8.04338692340584,"lamella_north_1","north_2","north",2,"lamella","spore_west_2","west_5","west",5,"spore"
"26","N3L","NE4L",2840508,0.536583378179287,0.985589826867798,0,1.57333575761176,4.69559967320229,-0.0219868585491829,10.207745817645,10.3057178549955,"lamella_north_2","north_3","north",3,"lamella","lamella_northeast_2","northeast_4","northeast",4,"lamella"
"27","N3L","NE5L",2744001,0.615977889742048,0.983388372909192,0,1.6226219980174,4.95003388677559,-0.00703384794495561,10.207745817645,9.84933902626368,"lamella_north_2","north_3","north",3,"lamella","lamella_northeast_3","northeast_5","northeast",5,"lamella"
"28","N3L","NW3L",2758378,0.603981591267902,0.982859980274977,0,1.67592311339613,5.00969016162182,-0.0202176240553996,10.207745817645,9.82541638235583,"lamella_north_2","north_3","north",3,"lamella","lamella_northwest_1","northwest_3","northwest",3,"lamella"
"29","N3L","W4L",2750386,0.613202880453341,0.98326486985942,0,1.64710119759557,4.99699334977514,-0.00404814075034282,10.207745817645,9.99158621740444,"lamella_north_2","north_3","north",3,"lamella","lamella_west_2","west_4","west",4,"lamella"
"30","N3L","W5L",2724181,0.615066572509968,0.982854620960383,0,1.67079556979953,5.02238807612906,-0.0581557020255102,10.207745817645,9.85336732293851,"lamella_north_2","north_3","north",3,"lamella","lamella_west_3","west_5","west",5,"lamella"
"31","N3L","N2SP",2563091,0.578536569329236,0.987571272808054,0,1.49075103351391,3.9627817903635,-0.0281956714384433,10.207745817645,8.42806324105631,"lamella_north_2","north_3","north",3,"lamella","spore_north_1","north_2","north",2,"spore"
"32","N3L","N4SP",2735720,0.595831208614189,0.988831657626853,0,1.53433289000179,4.01093355422908,0.0183170515066657,10.207745817645,9.69140309024737,"lamella_north_2","north_3","north",3,"lamella","spore_north_3","north_4","north",4,"spore"
"33","N3L","N4S",2826543,0.586679346685057,0.980198363709032,0,1.85846321227115,5.4640108197079,-0.291930819195425,10.207745817645,9.94254415228311,"lamella_north_2","north_3","north",3,"lamella","stipe_north_3","north_4","north",4,"stipe"
"34","N3L","NE3S",2838837,0.566586091090687,0.981477116777137,0,1.7804767360283,5.29769675037952,-0.176552681482455,10.207745817645,10.1367314151562,"lamella_north_2","north_3","north",3,"lamella","stipe_northeast_1","northeast_3","northeast",3,"stipe"
"35","N3L","NW4S",2571441,0.562657454783103,0.979889611530755,0,1.71523592784978,5.02236162776904,-0.158190758217654,10.207745817645,8.29226100713483,"lamella_north_2","north_3","north",3,"lamella","stipe_northwest_2","northwest_4","northwest",4,"stipe"
"36","N3L","N4L",2561105,0.623633320524318,0.988648353857797,0,1.5129145210854,4.05455299695225,-0.0104734726730567,10.207745817645,9.7006902315444,"lamella_north_2","north_3","north",3,"lamella","lamella_north_3","north_4","north",4,"lamella"
"37","N3L","NE3L",2766672,0.610861190191936,0.983521856270771,0,1.64335409084983,4.92588706441275,-0.0329982728047858,10.207745817645,9.86431564750248,"lamella_north_2","north_3","north",3,"lamella","lamella_northeast_1","northeast_3","northeast",3,"lamella"
"38","N3L","NW5L",2826642,0.590228920834218,0.983846051909042,0,1.65407054924498,4.9597747414756,-0.00618957537668094,10.207745817645,10.2442516271712,"lamella_north_2","north_3","north",3,"lamella","lamella_northwest_3","northwest_5","northwest",5,"lamella"
"39","N3L","N3SP",2611697,0.582754828526591,0.989362010986033,0,1.45758250165979,3.72888177793432,-0.0167285457692847,10.207745817645,8.72734335024228,"lamella_north_2","north_3","north",3,"lamella","spore_north_2","north_3","north",3,"spore"
"40","N3L","W3SP",2555483,0.579360662005711,0.982289863108125,0,1.64392133017424,4.80912858511236,0.0235881749050058,10.207745817645,8.7405607581908,"lamella_north_2","north_3","north",3,"lamella","spore_west_1","west_3","west",3,"spore"
"41","N3L","NW5S",2238794,0.600657530037732,0.978912528311486,0,1.7817007784159,5.26047074930172,-0.173901025134038,10.207745817645,8.69485725777494,"lamella_north_2","north_3","north",3,"lamella","stipe_northwest_3","northwest_5","northwest",5,"stipe"
"42","N3L","NW4L",2727936,0.612436505228378,0.983414006735303,0,1.66345497964572,4.95930507884758,-0.0108709910277616,10.207745817645,9.95883760618417,"lamella_north_2","north_3","north",3,"lamella","lamella_northwest_2","northwest_4","northwest",4,"lamella"
"43","N3L","NE4SP",2287511,0.577885693427753,0.981429542245512,0,1.6074323659013,4.78146334033562,0.0273270679660265,10.207745817645,8.20820749899239,"lamella_north_2","north_3","north",3,"lamella","spore_northeast_1","northeast_4","northeast",4,"spore"
"44","N3L","NW5SP",2556036,0.573631444789375,0.981869269380936,0,1.61806224908796,4.79743178373384,-0.00714025629868237,10.207745817645,8.46440291861712,"lamella_north_2","north_3","north",3,"lamella","spore_northwest_2","northwest_5","northwest",5,"spore"
"45","N3L","W3L",2525890,0.618756853858654,0.982951958408178,0,1.65054972540823,4.93191882502861,0.0045046933373241,10.207745817645,9.53813703520306,"lamella_north_2","north_3","north",3,"lamella","lamella_west_1","west_3","west",3,"lamella"
"46","N3L","NE5S",2395006,0.582796048027835,0.980033537804539,0,1.74558681433457,5.05115102904356,-0.0889918232948852,10.207745817645,8.52353874445286,"lamella_north_2","north_3","north",3,"lamella","stipe_northeast_3","northeast_5","northeast",5,"stipe"
